year,season,grade,imgur,answer
2007,m,10,wI0wpFl,B
2007,m,10,OiCxmdH,A
2007,m,10,ELghYsP,D
2007,m,10,HSsU9yc,B
2007,m,10,M8CRn3M,C
2007,m,10,yoDwUFU,B
2007,m,10,btfbXmo,C
2007,m,10,TS5bhPW,B
2007,m,10,K4xgEDr,A
2007,m,10,H4MGvF1,D
2007,m,10,YWC9Ajm,D
2007,m,10,zDimGyN,A
2007,m,10,DdTvcli,C
2007,m,10,2vfZ7Cu,B
2007,m,10,Btk5Ab7,C
2007,m,10,e3se6U2,A
2007,m,10,yh4VgIr,D
2007,m,10,kRZ2EEl,B
2007,m,10,ZrESx42,D
2007,m,10,P4ShFMp,B
2007,m,10,yDj77hZ,B
2007,m,10,a4OLIOD,D
2007,m,10,7M9fDWw,B
2007,m,10,bp9j7ZI,A
2007,m,10,xhmYOZ4,B
2007,m,10,Q66tJKg,A
2007,m,10,Y9DuLlS,D
2007,m,10,fDE0Bhb,B
2007,m,10,xpBdPQg,D
2007,m,10,TFdgrdS,B
2007,m,10,teAooCe,C
2007,m,10,YyQfmJx,B
2008,m,10,DI6Nlss,C
2008,m,10,aHOCSUC,C
2008,m,10,n9iqsh3,D
2008,m,10,pLry3h7,B
2008,m,10,zjtd5W5,B
2008,m,10,uT2Z0Z5,C
2008,m,10,6gCACA7,A
2008,m,10,SYQaN5B,A
2008,m,10,cla65a4,B
2008,m,10,BvCGhVu,B
2008,m,10,eEmdrim,C
2008,m,10,mrlnniA,D
2008,m,10,IpiWlDp,B
2008,m,10,I3GBTSh,A
2008,m,10,q1R0t5t,C
2008,m,10,a1ilaas,B
2008,m,10,nvCN5ku,A
2008,m,10,nAPl7jw,C
2008,m,10,0cpeXKb,D
2008,m,10,cXQCimh,B
2008,m,10,UQDaa9o,D
2008,m,10,PrcAzSa,C
2008,m,10,MmzAAmQ,B
2008,m,10,d5tITsv,C
2008,m,10,BNn0d6k,C
2008,m,10,dMRBSrm,A
2008,m,10,DLCJZQB,D
2008,m,10,kRmH1TP,D
